id,sample1,sample2,sample3
ABHD4_ABHD5_pg10,1,5,2
ABHD4_ABHD5_pg12,5,2,3
ABHD4_ABHD5_pg13,3,2,2
ABHD4_ABHD5_pg15,2,NA,NA
ABHD4_ABHD5_pg16,2,NA,NA
ABHD4_ABHD5_pg2,1,3,1
ABHD4_ABHD5_pg4,1,1,2
ABHD4_ABHD5_pg5,2,1,3
ABHD4_ABHD5_pg6,4,2,3
ABHD4_ABHD5_pg8,2,1,2
ABHD4_ABHD5_pg9,5,3,5
ABI1_ABI2_pg1,4,2,2
ABI1_ABI2_pg11,1,1,1
ABI1_ABI2_pg12,1,1,1
ABI1_ABI2_pg13,3,NA,2
ABI1_ABI2_pg14,1,2,NA
ABI1_ABI2_pg16,1,4,2
ABI1_ABI2_pg2,2,3,NA
ABI1_ABI2_pg3,1,2,3
ABI1_ABI2_pg4,1,2,4
ABI1_ABI2_pg5,1,NA,1
ABI1_ABI2_pg6,1,2,NA
ABI1_ABI2_pg7,1,NA,NA
ABI1_ABI2_pg8,1,NA,NA
ABI1_ABI2_pg9,3,3,1
ABL1_ABL2_pg1,6,3,2
ABL1_ABL2_pg10,10,2,1
ABL1_ABL2_pg11,1,NA,1
ABL1_ABL2_pg12,2,NA,NA
ABL1_ABL2_pg13,8,4,6
ABL1_ABL2_pg14,6,6,8
ABL1_ABL2_pg15,5,NA,4
ABL1_ABL2_pg16,2,2,2
ABL1_ABL2_pg2,4,5,3
ABL1_ABL2_pg3,1,1,NA
ABL1_ABL2_pg4,2,NA,NA
ABL1_ABL2_pg5,2,4,2
ABL1_ABL2_pg6,7,8,4
ABL1_ABL2_pg7,1,2,NA
ABL1_ABL2_pg9,3,1,NA
ACACA_ACACB_pg1,1,1,NA
ACACA_ACACB_pg10,1,NA,NA
ACACA_ACACB_pg11,3,3,NA
ACACA_ACACB_pg12,3,4,2
ACACA_ACACB_pg13,1,2,NA
ACACA_ACACB_pg14,4,4,NA
ACACA_ACACB_pg15,8,8,1
ACACA_ACACB_pg16,10,3,1
ACACA_ACACB_pg2,4,3,NA
ACACA_ACACB_pg3,4,1,NA
ACACA_ACACB_pg4,7,4,2
ACACA_ACACB_pg5,6,6,2
ACACA_ACACB_pg6,9,13,3
ACACA_ACACB_pg7,4,5,4
ACACA_ACACB_pg8,12,6,2
ACACA_ACACB_pg9,4,NA,1
ACSL3_ACSL4_pg1,1,1,NA
ACSL3_ACSL4_pg10,6,4,3
ACSL3_ACSL4_pg11,1,NA,3
ACSL3_ACSL4_pg12,3,3,3
ACSL3_ACSL4_pg13,3,NA,NA
ACSL3_ACSL4_pg14,4,2,2
ACSL3_ACSL4_pg15,1,2,NA
ACSL3_ACSL4_pg3,3,NA,NA
ACSL3_ACSL4_pg4,1,2,NA
ACSL3_ACSL4_pg5,3,4,NA
ACSL3_ACSL4_pg6,9,4,NA
ACSL3_ACSL4_pg7,5,1,NA
ACSL3_ACSL4_pg8,2,3,NA
ACTA2_ACTG2_pg1,4,3,6
ACTA2_ACTG2_pg10,5,3,1
ACTA2_ACTG2_pg11,2,4,4
ACTA2_ACTG2_pg12,9,7,3
ACTA2_ACTG2_pg13,1,NA,2
ACTA2_ACTG2_pg14,3,3,2
ACTA2_ACTG2_pg15,4,3,4
ACTA2_ACTG2_pg16,3,1,NA
ACTA2_ACTG2_pg2,4,4,1
ACTA2_ACTG2_pg3,1,2,4
ACTA2_ACTG2_pg5,1,2,4
ACTA2_ACTG2_pg6,4,5,3
ACTA2_ACTG2_pg7,5,5,8
ACTA2_ACTG2_pg8,2,2,NA
ACTA2_ACTG2_pg9,1,3,2
ACTL6A_ACTL6B_pg1,3,NA,NA
ACTL6A_ACTL6B_pg10,1,2,2
ACTL6A_ACTL6B_pg11,5,3,1
ACTL6A_ACTL6B_pg12,4,2,4
ACTL6A_ACTL6B_pg13,3,2,NA
ACTL6A_ACTL6B_pg14,3,7,1
ACTL6A_ACTL6B_pg15,2,NA,2
ACTL6A_ACTL6B_pg2,6,NA,1
ACTL6A_ACTL6B_pg3,2,2,NA
ACTL6A_ACTL6B_pg4,4,5,1
ACTL6A_ACTL6B_pg5,3,NA,NA
ACTL6A_ACTL6B_pg6,4,7,NA
ACTL6A_ACTL6B_pg7,9,5,1
ACTL6A_ACTL6B_pg8,1,NA,NA
ACTL6A_ACTL6B_pg9,3,NA,NA
ACTL7A_ACTL7B_pg1,3,4,1
ACTL7A_ACTL7B_pg10,7,3,6
ACTL7A_ACTL7B_pg11,1,3,1
ACTL7A_ACTL7B_pg12,4,3,2
ACTL7A_ACTL7B_pg13,1,2,1
ACTL7A_ACTL7B_pg14,2,3,5
ACTL7A_ACTL7B_pg15,3,4,5
ACTL7A_ACTL7B_pg16,1,5,NA
ACTL7A_ACTL7B_pg2,14,11,5
ACTL7A_ACTL7B_pg3,9,5,3
ACTL7A_ACTL7B_pg4,5,5,2
ACTL7A_ACTL7B_pg5,1,6,5
ACTL7A_ACTL7B_pg6,13,4,3
ACTL7A_ACTL7B_pg7,2,6,5
ACTL7A_ACTL7B_pg8,4,2,9
ACTL7A_ACTL7B_pg9,2,1,1
ACTRT1_ACTRT2_pg1,4,4,5
ACTRT1_ACTRT2_pg10,1,1,NA
ACTRT1_ACTRT2_pg11,2,3,4
ACTRT1_ACTRT2_pg12,2,1,2
ACTRT1_ACTRT2_pg13,4,9,2
ACTRT1_ACTRT2_pg14,3,1,NA
ACTRT1_ACTRT2_pg15,4,4,NA
ACTRT1_ACTRT2_pg16,8,2,NA
ACTRT1_ACTRT2_pg2,6,9,3
ACTRT1_ACTRT2_pg3,11,1,8
ACTRT1_ACTRT2_pg4,22,6,13
ACTRT1_ACTRT2_pg5,3,2,4
ACTRT1_ACTRT2_pg6,4,5,6
ACTRT1_ACTRT2_pg7,11,6,2
ACTRT1_ACTRT2_pg8,12,15,4
ACVR2A_ACVR2B_pg1,4,5,1
ACVR2A_ACVR2B_pg11,1,1,NA
ACVR2A_ACVR2B_pg12,1,2,2
ACVR2A_ACVR2B_pg13,14,6,7
ACVR2A_ACVR2B_pg14,1,NA,NA
ACVR2A_ACVR2B_pg16,8,7,6
ACVR2A_ACVR2B_pg2,1,1,NA
ACVR2A_ACVR2B_pg3,2,NA,NA
ACVR2A_ACVR2B_pg4,5,2,2
ACVR2A_ACVR2B_pg5,4,3,3
ACVR2A_ACVR2B_pg6,3,3,NA
ACVR2A_ACVR2B_pg7,1,4,1
ACVR2A_ACVR2B_pg8,5,7,NA
ACVR2A_ACVR2B_pg9,2,1,NA
ACVR1_ACVRL1_pg10,1,2,3
ACVR1_ACVRL1_pg11,2,4,4
ACVR1_ACVRL1_pg12,3,NA,NA
ACVR1_ACVRL1_pg13,7,6,2
ACVR1_ACVRL1_pg14,18,11,11
ACVR1_ACVRL1_pg15,5,2,2
ACVR1_ACVRL1_pg16,1,2,1
ACVR1_ACVRL1_pg2,3,3,2
ACVR1_ACVRL1_pg3,2,2,1
ACVR1_ACVRL1_pg4,3,1,3
ACVR1_ACVRL1_pg5,5,4,5
ACVR1_ACVRL1_pg6,6,2,5
ACVR1_ACVRL1_pg7,10,3,7
ACVR1_ACVRL1_pg8,4,2,9
ADAMTS16_ADAMTS18_pg1,3,6,1
ADAMTS16_ADAMTS18_pg10,4,2,2
ADAMTS16_ADAMTS18_pg11,1,1,2
ADAMTS16_ADAMTS18_pg12,1,2,3
ADAMTS16_ADAMTS18_pg13,1,1,NA
ADAMTS16_ADAMTS18_pg14,5,4,4
ADAMTS16_ADAMTS18_pg15,3,1,NA
ADAMTS16_ADAMTS18_pg16,1,NA,NA
ADAMTS16_ADAMTS18_pg2,11,13,15
ADAMTS16_ADAMTS18_pg4,2,3,3
ADAMTS16_ADAMTS18_pg5,6,3,3
ADAMTS16_ADAMTS18_pg6,4,4,5
ADAMTS16_ADAMTS18_pg7,1,1,2
ADAMTS16_ADAMTS18_pg8,3,5,3
ADAMTS16_ADAMTS18_pg9,2,1,8
ADAMTS10_ADAMTS6_pg1,7,5,4
ADAMTS10_ADAMTS6_pg10,4,NA,1
ADAMTS10_ADAMTS6_pg11,1,NA,1
ADAMTS10_ADAMTS6_pg12,6,3,4
ADAMTS10_ADAMTS6_pg13,5,1,NA
ADAMTS10_ADAMTS6_pg14,3,5,NA
ADAMTS10_ADAMTS6_pg15,2,1,NA
ADAMTS10_ADAMTS6_pg16,3,6,3
ADAMTS10_ADAMTS6_pg2,2,6,NA
ADAMTS10_ADAMTS6_pg3,1,NA,2
ADAMTS10_ADAMTS6_pg4,1,1,3
ADAMTS10_ADAMTS6_pg5,9,2,5
ADAMTS10_ADAMTS6_pg6,1,1,1
ADAMTS10_ADAMTS6_pg7,1,4,4
ADAMTS10_ADAMTS6_pg8,3,3,3
ADAMTS10_ADAMTS6_pg9,2,5,NA
ADAP1_ADAP2_pg1,5,NA,NA
ADAP1_ADAP2_pg10,5,2,1
ADAP1_ADAP2_pg11,2,3,2
ADAP1_ADAP2_pg12,1,1,NA
ADAP1_ADAP2_pg13,2,2,1
ADAP1_ADAP2_pg14,5,3,2
ADAP1_ADAP2_pg15,2,1,NA
ADAP1_ADAP2_pg16,4,1,NA
ADAP1_ADAP2_pg2,4,3,4
ADAP1_ADAP2_pg5,3,3,5
ADAP1_ADAP2_pg6,6,2,NA
ADAP1_ADAP2_pg8,1,3,NA
ADAP1_ADAP2_pg9,1,1,4
ADARB1_ADARB2_pg1,4,3,2
ADARB1_ADARB2_pg10,8,13,5
ADARB1_ADARB2_pg11,4,4,1
ADARB1_ADARB2_pg12,6,8,4
ADARB1_ADARB2_pg13,2,5,8
ADARB1_ADARB2_pg14,7,4,6
ADARB1_ADARB2_pg15,3,2,2
ADARB1_ADARB2_pg16,11,4,4
ADARB1_ADARB2_pg2,7,5,4
ADARB1_ADARB2_pg3,1,NA,2
ADARB1_ADARB2_pg4,10,11,13
ADARB1_ADARB2_pg6,7,1,2
ADARB1_ADARB2_pg7,1,NA,1
ADARB1_ADARB2_pg8,3,1,1
ADARB1_ADARB2_pg9,5,1,5
ADCY5_ADCY6_pg1,6,5,7
ADCY5_ADCY6_pg10,5,NA,1
ADCY5_ADCY6_pg11,2,3,2
ADCY5_ADCY6_pg12,2,NA,NA
ADCY5_ADCY6_pg13,3,7,2
ADCY5_ADCY6_pg14,2,3,1
ADCY5_ADCY6_pg15,5,12,NA
ADCY5_ADCY6_pg16,2,1,NA
ADCY5_ADCY6_pg2,3,2,2
ADCY5_ADCY6_pg3,1,1,2
ADCY5_ADCY6_pg4,5,3,1
ADCY5_ADCY6_pg5,3,3,3
ADCY5_ADCY6_pg6,1,NA,NA
ADCY5_ADCY6_pg7,7,4,2
ADCY5_ADCY6_pg8,4,2,1
ADCY5_ADCY6_pg9,3,2,3
ADIPOR1_ADIPOR2_pg1,4,1,3
ADIPOR1_ADIPOR2_pg10,2,3,NA
ADIPOR1_ADIPOR2_pg11,2,1,1
ADIPOR1_ADIPOR2_pg12,4,4,3
ADIPOR1_ADIPOR2_pg13,2,2,3
ADIPOR1_ADIPOR2_pg14,1,1,1
ADIPOR1_ADIPOR2_pg16,1,3,2
ADIPOR1_ADIPOR2_pg2,4,5,3
ADIPOR1_ADIPOR2_pg4,4,8,5
ADIPOR1_ADIPOR2_pg5,1,1,1
ADIPOR1_ADIPOR2_pg6,3,1,1
ADIPOR1_ADIPOR2_pg7,2,2,2
ADIPOR1_ADIPOR2_pg8,5,1,NA
ADIPOR1_ADIPOR2_pg9,5,4,NA
ADSS_ADSSL1_pg10,1,NA,NA
ADSS_ADSSL1_pg11,7,3,NA
ADSS_ADSSL1_pg12,3,3,NA
ADSS_ADSSL1_pg13,1,1,NA
ADSS_ADSSL1_pg14,3,2,NA
ADSS_ADSSL1_pg15,5,1,4
ADSS_ADSSL1_pg16,7,NA,NA
ADSS_ADSSL1_pg2,1,3,3
ADSS_ADSSL1_pg3,1,NA,1
ADSS_ADSSL1_pg5,4,4,5
ADSS_ADSSL1_pg6,5,2,1
ADSS_ADSSL1_pg7,9,3,5
ADSS_ADSSL1_pg8,4,4,2
ADSS_ADSSL1_pg9,3,1,1
AGPAT3_AGPAT4_pg1,1,3,2
AGPAT3_AGPAT4_pg10,16,9,15
AGPAT3_AGPAT4_pg11,5,1,2
AGPAT3_AGPAT4_pg12,8,6,2
AGPAT3_AGPAT4_pg14,9,7,4
AGPAT3_AGPAT4_pg15,8,7,3
AGPAT3_AGPAT4_pg16,6,5,8
AGPAT3_AGPAT4_pg2,12,9,10
AGPAT3_AGPAT4_pg3,6,5,10
AGPAT3_AGPAT4_pg4,4,3,1
AGPAT3_AGPAT4_pg5,5,2,1
AGPAT3_AGPAT4_pg6,4,4,4
AGPAT3_AGPAT4_pg7,3,3,1
AGPAT3_AGPAT4_pg8,5,6,3
AGPAT3_AGPAT4_pg9,2,4,1
AGR2_AGR3_pg1,3,3,1
AGR2_AGR3_pg10,3,4,3
AGR2_AGR3_pg11,2,3,6
AGR2_AGR3_pg12,1,1,NA
AGR2_AGR3_pg13,1,3,NA
AGR2_AGR3_pg14,6,2,4
AGR2_AGR3_pg15,6,4,1
AGR2_AGR3_pg16,11,3,5
AGR2_AGR3_pg2,2,1,2
AGR2_AGR3_pg3,1,NA,2
AGR2_AGR3_pg4,6,2,1
AGR2_AGR3_pg5,1,2,NA
AGR2_AGR3_pg6,5,3,3
AGR2_AGR3_pg8,1,NA,3
AGR2_AGR3_pg9,1,2,NA
AIF1_AIF1L_pg1,1,3,1
AIF1_AIF1L_pg10,4,1,2
AIF1_AIF1L_pg11,9,5,2
AIF1_AIF1L_pg12,2,2,NA
AIF1_AIF1L_pg13,2,2,1
AIF1_AIF1L_pg15,1,2,NA
AIF1_AIF1L_pg16,2,3,NA
AIF1_AIF1L_pg2,2,3,NA
AIF1_AIF1L_pg3,4,2,2
AIF1_AIF1L_pg4,1,1,2
AIF1_AIF1L_pg5,4,2,3
AIF1_AIF1L_pg6,4,1,NA
AIF1_AIF1L_pg7,2,2,NA
AIF1_AIF1L_pg8,4,3,NA
AIF1_AIF1L_pg9,2,1,NA
AK3_AK4_pg10,1,1,NA
AK3_AK4_pg11,1,1,1
AK3_AK4_pg12,2,2,NA
AK3_AK4_pg13,1,NA,NA
AK3_AK4_pg14,4,5,4
AK3_AK4_pg15,2,1,4
AK3_AK4_pg16,7,5,5
AK3_AK4_pg2,4,2,1
AK3_AK4_pg3,6,3,2
AK3_AK4_pg4,5,3,NA
AK3_AK4_pg5,2,2,NA
AK3_AK4_pg6,5,2,2
AK3_AK4_pg7,2,1,5
AK3_AK4_pg8,16,13,5
AK3_AK4_pg9,2,2,NA
AKIRIN1_AKIRIN2_pg1,9,12,NA
AKIRIN1_AKIRIN2_pg10,4,4,NA
AKIRIN1_AKIRIN2_pg11,7,3,1
AKIRIN1_AKIRIN2_pg13,7,7,NA
AKIRIN1_AKIRIN2_pg14,9,6,1
AKIRIN1_AKIRIN2_pg15,9,4,NA
AKIRIN1_AKIRIN2_pg2,8,4,NA
AKIRIN1_AKIRIN2_pg3,17,12,4
AKIRIN1_AKIRIN2_pg5,4,NA,NA
AKIRIN1_AKIRIN2_pg6,3,6,1
AKIRIN1_AKIRIN2_pg7,2,2,1
AKIRIN1_AKIRIN2_pg9,5,4,NA
AKR7A2_AKR7A3_pg1,12,12,7
AKR7A2_AKR7A3_pg10,4,2,10
AKR7A2_AKR7A3_pg11,6,7,5
AKR7A2_AKR7A3_pg12,8,8,12
AKR7A2_AKR7A3_pg13,4,5,3
AKR7A2_AKR7A3_pg14,7,5,4
AKR7A2_AKR7A3_pg15,4,3,1
AKR7A2_AKR7A3_pg16,6,8,6
AKR7A2_AKR7A3_pg2,7,4,2
AKR7A2_AKR7A3_pg3,5,4,NA
AKR7A2_AKR7A3_pg4,8,1,4
AKR7A2_AKR7A3_pg5,2,4,8
AKR7A2_AKR7A3_pg6,6,7,8
AKR7A2_AKR7A3_pg7,8,4,4
AKR7A2_AKR7A3_pg8,3,7,4
AKR7A2_AKR7A3_pg9,8,8,9
ALAS1_ALAS2_pg1,2,4,NA
ALAS1_ALAS2_pg10,2,5,3
ALAS1_ALAS2_pg11,4,3,3
ALAS1_ALAS2_pg12,3,8,7
ALAS1_ALAS2_pg13,4,1,6
ALAS1_ALAS2_pg14,2,1,3
ALAS1_ALAS2_pg16,3,2,2
ALAS1_ALAS2_pg2,3,1,1
ALAS1_ALAS2_pg5,2,2,8
ALAS1_ALAS2_pg6,3,4,3
ALAS1_ALAS2_pg7,4,2,4
ALAS1_ALAS2_pg8,3,4,5
ALAS1_ALAS2_pg9,2,2,7
ALDH1L1_ALDH1L2_pg1,9,5,2
ALDH1L1_ALDH1L2_pg10,5,1,2
ALDH1L1_ALDH1L2_pg11,3,2,2
ALDH1L1_ALDH1L2_pg12,9,3,2
ALDH1L1_ALDH1L2_pg14,7,6,6
ALDH1L1_ALDH1L2_pg15,6,2,NA
ALDH1L1_ALDH1L2_pg16,8,6,4
ALDH1L1_ALDH1L2_pg2,5,2,5
ALDH1L1_ALDH1L2_pg3,3,1,1
ALDH1L1_ALDH1L2_pg4,6,6,10
ALDH1L1_ALDH1L2_pg5,4,5,3
ALDH1L1_ALDH1L2_pg6,5,5,1
ALDH1L1_ALDH1L2_pg7,5,2,1
ALDH1L1_ALDH1L2_pg8,7,6,6
ALDH1L1_ALDH1L2_pg9,1,3,3
ALG10_ALG10B_pg1,2,NA,NA
ALG10_ALG10B_pg12,2,1,NA
ALG10_ALG10B_pg14,4,2,2
ALG10_ALG10B_pg15,5,2,NA
ALG10_ALG10B_pg16,5,1,NA
ALG10_ALG10B_pg2,3,1,1
ALG10_ALG10B_pg3,3,2,NA
ALG10_ALG10B_pg4,3,3,NA
ALG10_ALG10B_pg5,3,4,NA
ALG10_ALG10B_pg6,2,2,NA
ALG10_ALG10B_pg7,3,7,NA
ALG10_ALG10B_pg8,4,3,NA
ALG1L_ALG1L2_pg1,4,4,NA
ALG1L_ALG1L2_pg10,5,3,NA
ALG1L_ALG1L2_pg11,6,5,NA
ALG1L_ALG1L2_pg13,1,1,NA
ALG1L_ALG1L2_pg14,3,NA,NA
ALG1L_ALG1L2_pg2,3,2,NA
ALG1L_ALG1L2_pg3,2,1,NA
ALG1L_ALG1L2_pg4,2,NA,NA
ALG1L_ALG1L2_pg5,6,6,1
ALG1L_ALG1L2_pg6,4,5,2
ALG1L_ALG1L2_pg7,2,NA,NA
ALG1L_ALG1L2_pg8,1,2,NA
ALOX12_ALOX15_pg1,5,1,1
ALOX12_ALOX15_pg10,1,3,NA
ALOX12_ALOX15_pg11,8,7,1
ALOX12_ALOX15_pg12,5,3,1
ALOX12_ALOX15_pg13,8,5,18
ALOX12_ALOX15_pg14,1,6,1
ALOX12_ALOX15_pg15,4,8,5
ALOX12_ALOX15_pg16,9,2,5
ALOX12_ALOX15_pg2,2,NA,NA
ALOX12_ALOX15_pg3,1,4,NA
ALOX12_ALOX15_pg4,1,1,1
ALOX12_ALOX15_pg5,7,8,6
ALOX12_ALOX15_pg6,3,NA,NA
ALOX12_ALOX15_pg7,4,3,5
ALOX12_ALOX15_pg8,4,2,3
ALOX12_ALOX15_pg9,11,14,1
AMELX_AMELY_pg1,7,4,6
AMELX_AMELY_pg10,3,4,3
AMELX_AMELY_pg11,1,2,3
AMELX_AMELY_pg12,2,3,3
AMELX_AMELY_pg13,3,1,2
AMELX_AMELY_pg14,2,4,4
AMELX_AMELY_pg15,5,3,3
AMELX_AMELY_pg16,4,4,11
AMELX_AMELY_pg2,3,NA,2
AMELX_AMELY_pg3,4,NA,NA
AMELX_AMELY_pg4,5,9,6
AMELX_AMELY_pg5,2,1,5
AMELX_AMELY_pg6,4,7,4
AMELX_AMELY_pg7,5,2,1
AMELX_AMELY_pg8,5,1,6
AMELX_AMELY_pg9,3,1,1
AMMECR1_AMMECR1L_pg1,11,13,6
AMMECR1_AMMECR1L_pg10,2,3,NA
AMMECR1_AMMECR1L_pg11,4,3,4
AMMECR1_AMMECR1L_pg12,4,1,4
AMMECR1_AMMECR1L_pg13,6,8,NA
AMMECR1_AMMECR1L_pg14,2,3,NA
AMMECR1_AMMECR1L_pg15,1,3,3
AMMECR1_AMMECR1L_pg16,6,1,5
AMMECR1_AMMECR1L_pg2,2,1,4
AMMECR1_AMMECR1L_pg3,4,4,5
AMMECR1_AMMECR1L_pg4,1,1,1
AMMECR1_AMMECR1L_pg5,10,13,5
AMMECR1_AMMECR1L_pg7,6,7,2
AMMECR1_AMMECR1L_pg8,2,3,2
AMMECR1_AMMECR1L_pg9,5,5,5
AMPD1_AMPD3_pg10,7,5,NA
AMPD1_AMPD3_pg11,3,1,4
AMPD1_AMPD3_pg12,4,2,2
AMPD1_AMPD3_pg14,5,1,2
AMPD1_AMPD3_pg15,1,1,2
AMPD1_AMPD3_pg16,3,3,NA
AMPD1_AMPD3_pg2,2,1,1
AMPD1_AMPD3_pg3,2,1,2
AMPD1_AMPD3_pg4,1,2,1
AMPD1_AMPD3_pg5,7,3,5
AMPD1_AMPD3_pg6,8,6,3
AMPD1_AMPD3_pg7,9,12,4
AMPD1_AMPD3_pg8,4,4,1
AMPD1_AMPD3_pg9,2,3,5
ANGPT1_ANGPT2_pg1,5,1,NA
ANGPT1_ANGPT2_pg10,9,7,10
ANGPT1_ANGPT2_pg11,4,5,7
ANGPT1_ANGPT2_pg12,1,1,NA
ANGPT1_ANGPT2_pg13,3,3,4
ANGPT1_ANGPT2_pg14,9,4,6
ANGPT1_ANGPT2_pg15,4,1,NA
ANGPT1_ANGPT2_pg16,4,NA,2
ANGPT1_ANGPT2_pg2,7,5,4
ANGPT1_ANGPT2_pg3,4,1,2
ANGPT1_ANGPT2_pg4,2,3,3
ANGPT1_ANGPT2_pg5,3,2,6
ANGPT1_ANGPT2_pg6,8,11,18
ANGPT1_ANGPT2_pg7,2,6,2
ANGPT1_ANGPT2_pg8,7,6,5
ANGPT1_ANGPT2_pg9,3,4,1
ANGPTL1_ANGPTL2_pg1,6,3,3
ANGPTL1_ANGPTL2_pg11,3,1,1
ANGPTL1_ANGPTL2_pg12,4,7,1
ANGPTL1_ANGPTL2_pg13,1,3,NA
ANGPTL1_ANGPTL2_pg15,1,1,1
ANGPTL1_ANGPTL2_pg16,4,3,1
ANGPTL1_ANGPTL2_pg2,7,6,5
ANGPTL1_ANGPTL2_pg3,1,4,2
ANGPTL1_ANGPTL2_pg4,7,4,7
ANGPTL1_ANGPTL2_pg5,1,NA,2
ANGPTL1_ANGPTL2_pg6,2,1,NA
ANGPTL1_ANGPTL2_pg7,6,6,5
ANGPTL1_ANGPTL2_pg8,3,4,1
ANGPTL1_ANGPTL2_pg9,1,3,3
ANKRD18A_ANKRD18B_pg1,9,1,3
ANKRD18A_ANKRD18B_pg10,10,5,3
ANKRD18A_ANKRD18B_pg11,1,1,NA
ANKRD18A_ANKRD18B_pg12,6,2,3
ANKRD18A_ANKRD18B_pg13,3,4,2
ANKRD18A_ANKRD18B_pg14,4,2,4
ANKRD18A_ANKRD18B_pg15,4,2,4
ANKRD18A_ANKRD18B_pg16,3,2,NA
ANKRD18A_ANKRD18B_pg2,15,1,10
ANKRD18A_ANKRD18B_pg3,6,2,1
ANKRD18A_ANKRD18B_pg4,2,NA,NA
ANKRD18A_ANKRD18B_pg5,2,NA,1
ANKRD18A_ANKRD18B_pg6,11,4,2
ANKRD18A_ANKRD18B_pg7,1,1,1
ANKRD18A_ANKRD18B_pg8,4,4,3
ANKRD18A_ANKRD18B_pg9,2,1,2
ANO1_ANO2_pg1,4,3,NA
ANO1_ANO2_pg10,7,6,1
ANO1_ANO2_pg11,5,9,6
ANO1_ANO2_pg12,3,1,2
ANO1_ANO2_pg13,3,7,1
ANO1_ANO2_pg14,4,1,NA
ANO1_ANO2_pg15,14,4,2
ANO1_ANO2_pg2,6,3,5
